summary_date,campaign_name,impressions,clicks,installs,spend,CTR,CPI
2022-06-17,Super campaign 10,0.0,74070.0,6.0,1692.73,inf,282.12166666666667
2022-06-17,Super campaign 16,3879230.0,6578.0,1140.0,203.567,0.0016956973419982831,0.17856754385964912
2022-06-17,Super campaign 6,798064.0,4378.0,0.0,12.676755000000002,0.005485775576896088,inf
2022-06-17,Super campaign 9,0.0,0.0,22706.0,0.0,,0.0
2022-06-18,Super campaign 10,0.0,71816.0,0.0,1730.3,inf,inf
2022-06-18,Super campaign 16,3968270.0,7090.0,978.0,211.72840000000002,0.0017866727818419614,0.2164912065439673
2022-06-18,Super campaign 4,0.0,0.0,2.0,0.0,,0.0
2022-06-18,Super campaign 6,1891512.0,5836.0,0.0,11.70351,0.003085362397912358,inf
2022-06-18,Super campaign 9,0.0,0.0,15096.0,0.0,,0.0
2022-06-19,Super campaign 10,0.0,50402.0,0.0,1145.755,inf,inf
2022-06-19,Super campaign 16,4252782.0,8098.0,1034.0,222.3299,0.0019041653204890352,0.21501924564796907
2022-06-19,Super campaign 4,0.0,0.0,2.0,0.0,,0.0
2022-06-19,Super campaign 6,1605220.0,10914.0,0.0,10.72864,0.006799068040517811,inf
2022-06-19,Super campaign 9,0.0,0.0,17920.0,0.0,,0.0
2022-06-20,Super campaign 10,0.0,49592.0,0.0,1364.61,inf,inf
2022-06-20,Super campaign 16,3525716.0,5648.0,990.0,165.22935,0.001601944115748404,0.16689833333333334
2022-06-20,Super campaign 6,1341162.0,9952.0,0.0,14.138215,0.007420430939737333,inf
2022-06-20,Super campaign 9,0.0,0.0,16000.0,0.0,,0.0
2022-06-21,Super campaign 10,0.0,48772.0,0.0,1191.84,inf,inf
2022-06-21,Super campaign 16,3081762.0,4906.0,794.0,149.8445,0.0015919464254540098,0.18872103274559196
2022-06-21,Super campaign 6,1553684.0,11502.0,0.0,16.08828,0.0074030497836110815,inf
2022-06-21,Super campaign 9,0.0,0.0,14902.0,0.0,,0.0
2022-06-22,Super campaign 10,0.0,41336.0,0.0,1138.605,inf,inf
2022-06-22,Super campaign 16,4652174.0,8038.0,994.0,304.17400000000004,0.0017277943602281428,0.3060100603621731
2022-06-22,Super campaign 4,0.0,0.0,2.0,0.0,,0.0
2022-06-22,Super campaign 5,0.0,0.0,2.0,0.0,,0.0
2022-06-22,Super campaign 6,1511434.0,8756.0,0.0,11.701105,0.005793173899753479,inf
2022-06-22,Super campaign 9,0.0,0.0,12942.0,0.0,,0.0
2022-06-23,Super campaign 10,0.0,474214.0,0.0,1204.19,inf,inf
2022-06-23,Super campaign 16,8569258.0,22592.0,452.0,777.2895000000001,0.0026364009579359147,1.7196670353982302
2022-06-23,Super campaign 6,1753612.0,16220.0,0.0,13.16289,0.00924948050081774,inf
2022-06-23,Super campaign 9,0.0,0.0,40174.0,0.0,,0.0
2022-06-24,Super campaign 10,0.0,1215918.0,0.0,4803.045,inf,inf
2022-06-24,Super campaign 16,13153530.0,51988.0,64.0,1627.132,0.003952399089826077,25.4239375
2022-06-24,Super campaign 5,0.0,0.0,16.0,0.0,,0.0
2022-06-24,Super campaign 6,1165876.0,7198.0,0.0,14.627405,0.0061738984248753724,inf
2022-06-24,Super campaign 9,0.0,0.0,83240.0,0.0,,0.0
2022-06-25,Super campaign 10,0.0,169358.0,0.0,4279.925,inf,inf
2022-06-25,Super campaign 16,11998744.0,69030.0,108.0,1627.3972,0.005753102158025873,15.068492592592593
2022-06-25,Super campaign 5,0.0,0.0,6.0,0.0,,0.0
2022-06-25,Super campaign 6,1171690.0,9642.0,0.0,18.527145,0.008229139106760321,inf
2022-06-25,Super campaign 9,0.0,0.0,42274.0,0.0,,0.0
2022-06-26,Super campaign 10,0.0,274372.0,0.0,3228.355,inf,inf
2022-06-26,Super campaign 16,12373642.0,105344.0,190.0,1627.36795,0.008513580722636067,8.56509447368421
2022-06-26,Super campaign 5,0.0,0.0,14.0,0.0,,0.0
2022-06-26,Super campaign 6,1665116.0,25344.0,0.0,12.67539,0.015220561210149924,inf
2022-06-26,Super campaign 9,0.0,0.0,43250.0,0.0,,0.0
2022-06-27,Super campaign 10,0.0,41214.0,0.0,3284.125,inf,inf
2022-06-27,Super campaign 16,6625678.0,75652.0,196.0,904.6791000000001,0.01141800129737666,4.615709693877552
2022-06-27,Super campaign 5,0.0,0.0,36.0,0.0,,0.0
2022-06-27,Super campaign 6,2143352.0,11264.0,0.0,22.42942,0.005255319704836163,inf
2022-06-27,Super campaign 9,0.0,0.0,44898.0,0.0,,0.0
